,시도,군구,선거인수,투표수,이재명,윤석열,이재명_득표율,윤석열_득표율,ID
152,경상남도,남해군,38680.0,30297.0,10143.0,18503.0,33.478562233884546,61.07205333861438,남해
153,경상남도,함양군,34459.0,26955.0,8526.0,16957.0,31.630495269894272,62.908551289185674,함양
154,경상남도,산청군,31645.0,24913.0,7125.0,16607.0,28.59952635170393,66.65997671898207,산청
155,경상남도,거창군,53049.0,41399.0,11963.0,27254.0,28.89683325684195,65.83250803159495,거창
156,경상남도,합천군,39768.0,31270.0,6911.0,22742.0,22.101055324592263,72.72785417332906,합천
157,경상북도,포항시북구,232070.0,183046.0,45053.0,130458.0,24.612938824120715,71.27060957354982,포항 북구
158,경상북도,포항시남구,197466.0,152184.0,38517.0,106712.0,25.309493770698626,70.12038059191505,포항 남구
159,경상북도,울릉군,8141.0,6653.0,1590.0,4815.0,23.898992935517814,72.37336539906809,울릉
160,경상북도,경주시,220573.0,173759.0,43031.0,123196.0,24.764760386512354,70.9005001179795,경주
161,경상북도,김천시,120746.0,95575.0,22122.0,69272.0,23.146220245880198,72.4792048129741,김천
162,경상북도,안동시,136307.0,106950.0,30870.0,71881.0,28.863955119214584,67.20991117344553,안동
163,경상북도,구미시,338810.0,253211.0,67054.0,173950.0,26.481471973966375,68.69764741658143,구미
164,경상북도,영주시,89380.0,70769.0,17937.0,50214.0,25.345843519054956,70.95479659172803,영주
165,경상북도,영천시,91044.0,70942.0,14332.0,53537.0,20.202418877392798,75.46587353048969,영천
166,경상북도,상주시,85100.0,68459.0,13660.0,51935.0,19.95354883945135,75.86292525453192,상주
167,경상북도,문경시,63035.0,49720.0,9912.0,37738.0,19.93563958165728,75.90104585679806,문경
168,경상북도,예천군,47677.0,39128.0,9147.0,28320.0,23.377121243099573,72.37783684318136,예천
169,경상북도,경산시,230797.0,176406.0,40267.0,128158.0,22.826321100189336,72.64945636769724,경산
170,경상북도,청도군,38816.0,30953.0,5654.0,24036.0,18.266403902691177,77.6532161664459,청도
171,경상북도,고령군,27955.0,22270.0,3852.0,17464.0,17.296811854512796,78.4193982936686,고령
172,경상북도,성주군,39491.0,32009.0,5775.0,24975.0,18.04180074354088,78.02493048830017,성주
173,경상북도,칠곡군,96181.0,71492.0,17603.0,50468.0,24.622335366194818,70.59251384770324,칠곡
174,경상북도,군위군,21784.0,18239.0,2511.0,15032.0,13.767202149240637,82.41679916662098,군위
175,경상북도,의성군,47369.0,39245.0,6431.0,31176.0,16.386800866352402,79.43941903427188,의성
176,경상북도,청송군,22793.0,18789.0,3716.0,14268.0,19.77752940550322,75.93804885837459,청송
177,경상북도,영양군,14932.0,12337.0,2855.0,8968.0,23.14176866337035,72.69190240739239,영양
178,경상북도,영덕군,32227.0,25897.0,4342.0,20611.0,16.76642082094451,79.58836930918639,영덕
179,경상북도,봉화군,28052.0,22707.0,5252.0,16451.0,23.129431452855947,72.44902452988066,봉화
180,경상북도,울진군,42282.0,33544.0,6888.0,25287.0,20.534223706176963,75.38456952062961,울진
181,전라남도,목포시,183659.0,145187.0,125790.0,14936.0,86.63998842871608,10.287422427627819,목포
182,전라남도,여수시,237455.0,189617.0,162006.0,21986.0,85.43854190288846,11.594951929415611,여수
183,전라남도,순천시,235327.0,192412.0,162566.0,23709.0,84.48849344115752,12.321996549071782,순천
184,전라남도,나주시,99117.0,81076.0,68994.0,9512.0,85.09793280378904,11.732201884651438,나주
185,전라남도,광양시,126644.0,100876.0,81441.0,15843.0,80.7337721559142,15.70542051627741,광양
186,전라남도,담양군,41698.0,34632.0,30076.0,3435.0,86.84453684453685,9.918572418572419,담양
187,전라남도,장성군,38486.0,31666.0,27132.0,3566.0,85.681803827449,11.261289711362345,장성
188,전라남도,곡성군,25143.0,20717.0,17472.0,2380.0,84.33653521262731,11.488149828643143,곡성
189,전라남도,구례군,22770.0,19132.0,16137.0,2352.0,84.34559899644574,12.293539619485678,구례
190,전라남도,고흥군,57414.0,47171.0,40466.0,5120.0,85.78575819889339,10.854126476012805,고흥
191,전라남도,보성군,35850.0,29323.0,25214.0,3102.0,85.98710909524947,10.578726596869352,보성
192,전라남도,화순군,55122.0,45152.0,39327.0,4389.0,87.09913182140326,9.72049964564139,화순
193,전라남도,장흥군,32712.0,27048.0,23565.0,2555.0,87.122892635315,9.446169772256727,장흥
194,전라남도,강진군,30272.0,24960.0,21064.0,3010.0,84.39102564102564,12.059294871794872,강진
195,전라남도,완도군,42767.0,35300.0,31062.0,3085.0,87.9943342776204,8.739376770538243,완도
196,전라남도,해남군,59631.0,48441.0,42071.0,4690.0,86.84998245288082,9.681881051175658,해남
197,전라남도,진도군,26802.0,21744.0,18692.0,2313.0,85.96394407652686,10.637417218543046,진도
198,전라남도,영암군,46507.0,37333.0,31909.0,4092.0,85.47129885088259,10.960812150108483,영암
199,전라남도,무안군,75012.0,61552.0,52983.0,6624.0,86.07843774369638,10.76163244086301,무안
200,전라남도,영광군,45280.0,36321.0,30855.0,4056.0,84.95085487734369,11.167093417031468,영광
201,전라남도,함평군,28435.0,23295.0,20467.0,2052.0,87.86005580596694,8.808757244043786,함평
202,전라남도,신안군,35175.0,29213.0,25583.0,2742.0,87.5740252627255,9.38623215691644,신안
203,전라북도,전주시완산구,285828.0,231447.0,188693.0,35152.0,81.52752033942976,15.187926393515577,전주 완산
204,전라북도,전주시덕진구,265049.0,215995.0,175845.0,32731.0,81.41160675015625,15.153591518322184,전주 덕진
205,전라북도,군산시,225149.0,177339.0,144395.0,27400.0,81.42315001212367,15.450634096278879,군산
206,전라북도,익산시,239340.0,189310.0,154719.0,28076.0,81.72785378479742,14.830700966668427,익산
207,전라북도,정읍시,93594.0,75092.0,63487.0,9085.0,84.54562403451766,12.098492515847227,정읍
208,전라북도,남원시,69190.0,56509.0,47470.0,7163.0,84.00431789626431,12.6758569431418,남원
209,전라북도,김제시,72285.0,58026.0,48952.0,7164.0,84.36218246992728,12.346189639127287,김제
210,전라북도,완주군,78117.0,63481.0,52862.0,8443.0,83.27216017391031,13.300042532411272,완주
211,전라북도,진안군,22568.0,18855.0,15637.0,2572.0,82.93290904269425,13.64094404667197,진안
212,전라북도,무주군,21244.0,17429.0,13292.0,3426.0,76.26369843364508,19.656893682942222,무주
213,전라북도,장수군,19371.0,16230.0,13564.0,2063.0,83.573629081947,12.711028958718423,장수
214,전라북도,임실군,24186.0,20057.0,16930.0,2416.0,84.40943311562049,12.045669840953282,임실
215,전라북도,순창군,23847.0,19879.0,16980.0,2211.0,85.41677146737764,11.122289853614367,순창
216,전라북도,고창군,47655.0,38707.0,33000.0,4335.0,85.2558968661999,11.19952463378717,고창
217,전라북도,부안군,45702.0,36856.0,31037.0,4572.0,84.2115259387888,12.405035815064034,부안
218,제주도,제주시,408552.0,296826.0,157695.0,122084.0,53.12708455458753,41.129820164001806,제주
219,제주도,서귀포시,155802.0,112823.0,55435.0,50930.0,49.134484989762726,45.14150483500705,서귀포
220,충청남도,천안시서북구,329610.0,238154.0,115553.0,110141.0,48.520285193614214,46.24780604146896,천안 서북
221,충청남도,천안시동남구,216193.0,157433.0,71851.0,77739.0,45.6390972667738,49.3791009508807,천안 동남
222,충청남도,공주시,91684.0,68872.0,28472.0,37339.0,41.34045766058776,54.21506562899291,공주
223,충청남도,보령시,86253.0,65715.0,26207.0,36419.0,39.879783915392224,55.41961500418474,보령
224,충청남도,아산시,265136.0,192927.0,93262.0,89998.0,48.34056404754129,46.64873242210784,아산
225,충청남도,서산시,148201.0,108990.0,48642.0,54892.0,44.62978254885769,50.364253601247825,서산
226,충청남도,태안군,55320.0,42028.0,16678.0,23511.0,39.683068430570096,55.94127724374227,태안
227,충청남도,금산군,44799.0,33699.0,14002.0,18178.0,41.550194367785394,53.942253479331725,금산
228,충청남도,논산시,100285.0,73512.0,33822.0,36203.0,46.00881488736533,49.247741865273696,논산
229,충청남도,계룡시,34745.0,27992.0,11891.0,14718.0,42.479994284081165,52.579308373821085,계룡
230,충청남도,당진시,139481.0,100874.0,46903.0,49230.0,46.496619545175164,48.80345777901144,당진
231,충청남도,부여군,57573.0,43975.0,16813.0,25136.0,38.23308698123934,57.159749857873784,부여
232,충청남도,서천군,45997.0,35136.0,15443.0,18168.0,43.95207194899818,51.70765027322405,서천
233,충청남도,홍성군,84379.0,62416.0,25860.0,33581.0,41.431684183542686,53.80190976672649,홍성
234,충청남도,청양군,27754.0,21588.0,7688.0,12932.0,35.61237724661849,59.90365017602372,청양
235,충청남도,예산군,69064.0,51349.0,16904.0,32098.0,32.91982317085046,62.50949385577129,예산
236,충청북도,청주시상당구,162949.0,122198.0,55852.0,59685.0,45.706149036809116,48.84286158529599,청주 상당
237,충청북도,청주시서원구,165206.0,124726.0,56323.0,61745.0,45.157384987893465,49.50451389445665,청주 서원
238,충청북도,청주시흥덕구,223335.0,163683.0,76940.0,77952.0,47.00549232357667,47.623760561573285,청주 흥덕
239,충청북도,청주시청원구,159671.0,117836.0,56679.0,54855.0,48.0999015580977,46.551987508062055,청주 청원
240,충청북도,충주시,180976.0,135848.0,58801.0,70382.0,43.28440610093634,51.80937518402921,충주
241,충청북도,제천시,114317.0,87091.0,36442.0,46482.0,41.843588889781955,53.37176057227497,제천
242,충청북도,단양군,25748.0,20193.0,7271.0,11969.0,36.00752736096668,59.27301540137672,단양
243,충청북도,영동군,41165.0,31795.0,12029.0,18238.0,37.832992608900774,57.36122031766001,영동
244,충청북도,보은군,28971.0,22717.0,8757.0,12754.0,38.54822379715632,56.14297662543469,보은
245,충청북도,옥천군,44671.0,34242.0,14138.0,18241.0,41.288476140412364,53.270836983821034,옥천
246,충청북도,음성군,80946.0,58316.0,26700.0,28700.0,45.78503326702792,49.214623773921396,음성
247,충청북도,진천군,71306.0,51932.0,25402.0,23759.0,48.91396441500424,45.750211815450974,진천
248,충청북도,괴산군,34819.0,27419.0,10304.0,15895.0,37.57978044421751,57.9707502097086,괴산
249,충청북도,증평군,30953.0,22653.0,10215.0,11264.0,45.09336511720302,49.724098353418974,증평
250,경기도,부천시,233226.0,177665.0,95075.66666666667,74777.0,53.51401045037946,42.08876255874821,부천 소사
251,경기도,부천시,233226.0,177665.0,95075.66666666667,74777.0,53.51401045037946,42.08876255874821,부천 오정
252,경기도,부천시,233226.0,177665.0,95075.66666666667,74777.0,53.51401045037946,42.08876255874821,부천 원미
